Sample_ID,C_N,d13C_post,d13C_kilj,d13C,d15N,location,organism,month,tissue,,,
FN-M23-GS-8-L,5.428417756,-29.07586642,-28.97757507,-31.13,5.28,int,golden shiner,may,liver,,,
FN-M23-GS-8-M,3.830634281,-29.41767206,-28.77997018,-29.89,6.16,int,golden shiner,may,muscle,,,
FN-M23-NRB-1-M,4.133962137,-30.87737748,-30.33558941,-31.65,6.31,int,northern redbelly dace,may,muscle,,,
FN-M23-NRB-1-L,4.162341208,-24.7392822,-24.2066283,-25.54,6.07,int,northern redbelly dace,may,liver,,,
FN-M23-NRB-100-L,4.942978636,-27.73645115,-27.46553066,-29.31,5.82,int,northern redbelly dace,may,muscle,,,
FN-M23-NRB-100-M,4.074060899,-29.10667971,-28.54570128,-29.82,6.36,int,northern redbelly dace,may,muscle,,,
FN-M23-NRB-2-M,4.169410567,-31.37228354,-30.84190924,-32.18,6.09,int,northern redbelly dace,may,muscle,,,
FN-M23-NRB-3-M,4.092775359,-31.41815239,-30.86315636,-32.15,6.06,int,northern redbelly dace,may,muscle,,,
FN-M23-PD-1-M,4.067826259,-30.902852,-30.33988321,-31.61,7.55,int,pearl dace,may,muscle,,,
FN-M23-PD-100-M,3.958596058,-29.4209899,-28.82336543,-30.02,6.1,int,pearl dace,may,muscle,,,
FN-M23-PD-3-M,4.009494487,-28.59060046,-28.00907387,-29.24,6.48,int,pearl dace,may,muscle,,,
FN-M23-PD-4-L,5.901418274,-27.34759591,-27.42448385,-29.87,5.83,int,pearl dace,may,liver,,,
FN-M23-PD-4-M,4.131702802,-28.97961423,-28.43710012,-29.75,5.53,int,pearl dace,may,muscle,,,
FN-M23-PD-5-L,6.43999317,-26.53440676,-26.81884017,-29.59,6.25,int,pearl dace,may,liver,,,
FN-M23-PD-5-M,4.010806125,-29.66930194,-29.08819136,-30.32,5.5,int,pearl dace,may,muscle,,,
FN-M23-PD-6-L,5.040273817,-28.59012892,-28.3532147,-30.26,5.5,int,pearl dace,may,liver,,,
FN-M23-PD-6-M,4.123126834,-28.24810443,-27.70283607,-29.01,5.98,int,pearl dace,may,muscle,,,
FN-M23-PD-7-M,4.199776022,-29.47222174,-28.95165835,-30.31,5.64,int,pearl dace,may,muscle,,,
FN-M23-PD-7-L,4.189044911,-28.83284554,-28.30881143,-29.66,6.42,int,pearl dace,may,liver,,,
FN-M23-PD-8-M,4.186290772,-30.10557214,-29.5806479,-30.93,6.88,int,pearl dace,may,muscle,,,
FN-M23-YP-1-L,4.923875336,-27.76536342,-27.48780138,-29.32,8.33,int,yellow perch,may,liver,,,
FN-M23-YP-1-M,3.745235137,-29.83221721,-29.16808398,-30.22,7.53,int,yellow perch,may,muscle,,,
FN-M23-YP-100-L,6.186990806,-26.3248791,-26.51076341,-29.13,6.14,int,yellow perch,may,liver,,,
FN-M23-YP-100-M,4.088744362,-26.25214308,-25.69585746,-26.98,5.81,int,yellow perch,may,muscle,,,
FN-M23-YP-101-M,4.345068329,-25.26838235,-24.79519102,-26.25,6.16,int,yellow perch,may,muscle,,,
FN-M23-YP-102-M,4.086325526,-26.54453773,-25.98747855,-27.27,6.09,int,yellow perch,may,muscle,,,
FN-M23-YP-103-L,5.317873627,-27.95530511,-27.81705604,-29.9,6.51,int,yellow perch,may,liver,,,
FN-M23-YP-103-M,4.144860183,-26.47658842,-25.9383048,-27.26,6.51,int,yellow perch,may,muscle,,,
FN-M23-YP-104-L,4.75768046,-28.08989634,-27.75504752,-29.48,6.24,int,yellow perch,may,liver,,,
